0.048096	0.487061	0.061890	0.006934	-0.004198	0.006934	1
0.048096	0.481934	0.063477	0.006870	-0.004262	0.007188	2
0.048340	0.483398	0.063721	0.008079	-0.004135	0.007061	3
0.046875	0.483643	0.063477	0.008461	-0.004389	0.008270	4
0.047607	0.486206	0.058960	0.008715	-0.003308	0.008142	5
0.048950	0.489502	0.057617	0.008461	-0.003308	0.007824	6
0.047607	0.488647	0.057251	0.007506	-0.002990	0.008079	7
0.045898	0.489990	0.056274	0.006807	-0.003499	0.007761	8
0.048950	0.492310	0.060181	0.005725	-0.003308	0.008142	9
0.050537	0.492920	0.057617	0.004835	-0.003181	0.008270	10
0.052612	0.494141	0.055786	0.003753	-0.002354	0.007697	11
0.049561	0.490479	0.057739	0.002290	-0.002417	0.007061	12
0.048462	0.483887	0.061890	0.001081	-0.001463	0.006743	13
0.045410	0.480225	0.065186	0.002799	-0.002545	0.006361	14
0.049072	0.489136	0.060913	0.006361	-0.003244	0.006870	15
0.050781	0.495239	0.057251	0.007188	-0.003117	0.006934	16
0.048462	0.493774	0.056885	0.006234	-0.004008	0.006552	17
0.050537	0.494385	0.056763	0.004580	-0.002863	0.006234	18
0.050537	0.485229	0.057983	0.003244	-0.002672	0.005725	19
0.047852	0.480957	0.062012	0.003626	-0.002863	0.006107	20
0.048340	0.485352	0.060547	0.004898	-0.003944	0.006489	21
0.053711	0.492188	0.060547	0.005471	-0.003372	0.006679	22
0.052734	0.495972	0.056152	0.004008	-0.002926	0.006425	23
0.053223	0.497070	0.057739	0.001718	-0.002608	0.006107	24
0.056152	0.492310	0.059082	-0.000954	-0.002354	0.006234	25
0.053833	0.489624	0.060913	-0.002990	-0.001972	0.006298	26
0.054932	0.484863	0.061279	-0.004008	-0.001527	0.006425	27
0.055298	0.487427	0.060303	-0.003944	-0.000891	0.006616	28
0.056763	0.487671	0.057739	-0.004008	-0.000318	0.005980	29
0.055664	0.490479	0.058105	-0.005153	0.000254	0.005916	30
0.052734	0.490479	0.058228	-0.006043	0.000064	0.005534	31
0.050537	0.487549	0.061401	-0.007252	0.001145	0.004962	32
0.052124	0.488770	0.062256	-0.007125	0.001336	0.005852	33
0.051514	0.489624	0.057617	-0.007316	0.001590	0.004898	34
